Hidden Nodes,Learning Rate,Epochs,Perf
100,0.2,3,0.9608
100,0.25,3,0.9552
100,0.3,3,0.9499
100,0.2,5,0.9589
100,0.25,5,0.9569
100,0.3,5,0.9447
100,0.2,7,0.9583
100,0.25,7,0.9549
100,0.3,7,0.9483
100,0.2,9,0.9558
100,0.25,9,0.9563
100,0.3,9,0.9474
125,0.2,3,0.9644
125,0.25,3,0.96
125,0.3,3,0.9523
125,0.2,5,0.9643
125,0.25,5,0.9574
125,0.3,5,0.955
125,0.2,7,0.9636
125,0.25,7,0.959
125,0.3,7,0.9506
125,0.2,9,0.9622
125,0.25,9,0.9564
125,0.3,9,0.9525
150,0.2,3,0.9653
150,0.25,3,0.9641
150,0.3,3,0.9581
150,0.2,5,0.9665
150,0.25,5,0.9618
150,0.3,5,0.9509
150,0.2,7,0.9648
150,0.25,7,0.9614
150,0.3,7,0.9583
150,0.2,9,0.9675
150,0.25,9,0.9529
150,0.3,9,0.9572
175,0.2,3,0.9669
175,0.25,3,0.964
175,0.3,3,0.9564
175,0.2,5,0.9699
175,0.25,5,0.9611
175,0.3,5,0.9599
175,0.2,7,0.9704
175,0.25,7,0.9619
175,0.3,7,0.9589
175,0.2,9,0.9654
175,0.25,9,0.9611
175,0.3,9,0.9571
200,0.2,3,0.9664
200,0.25,3,0.9658
200,0.3,3,0.9624
200,0.2,5,0.9689
200,0.25,5,0.9637
200,0.3,5,0.9542
200,0.2,7,0.964
200,0.25,7,0.9655
200,0.3,7,0.9583
200,0.2,9,0.967
200,0.25,9,0.9624
200,0.3,9,0.9618
225,0.2,3,0.968
225,0.25,3,0.9647
225,0.3,3,0.956
225,0.2,5,0.9683
225,0.25,5,0.9599
225,0.3,5,0.9607
225,0.2,7,0.9686
225,0.25,7,0.9628
225,0.3,7,0.9531
225,0.2,9,0.9678
225,0.25,9,0.9636
225,0.3,9,0.9578
250,0.2,3,0.9673
250,0.25,3,0.9629
250,0.3,3,0.9564
250,0.2,5,0.969
250,0.25,5,0.9665
250,0.3,5,0.9576
250,0.2,7,0.9689
250,0.25,7,0.9659
250,0.3,7,0.9582
250,0.2,9,0.9681
250,0.25,9,0.9612
250,0.3,9,0.9593
